,,,State/Country,Surface area,mean depth,Inflow rate,theta or Q,TPout,Loading constant,,Vol,Loading/m2,TPout/TPin,Rp,our predicted Rp,TPin ,K or s,10/z,flushing rate,qs,qs,tn_out_mass,tp_out_mass,tn_in_mass,Rn_source,Rp_source,tn_in_conc,tp_in_conc,tn_out_conc,tp_out_conc
1,1,Blackhawk,Wisc,0.9,4.9,0.277,0.500,120,1980,,4.36,2225,0.529,0.471,0.446,227,1.78,2.04,2.0,9.8,9.80,,,,,,,,,
2,2,Calhoun,Minn,1.7,10.6,0.159,3.600,106,1462,,18.02,860,0.363,0.637,0.671,292,0.49,0.94,0.3,2.9,2.94,,,,,,,,,
3,3,Camelot-Sherwood,Wisc,2.8,3,2.316,0.115,30,7042,,8.40,2515,0.311,0.689,0.287,96,19.25,3.33,8.7,26.1,26.09,,,,,,,,,
4,4,Canadarago,NY,7.6,7.7,3.093,0.600,45,6004,,58.52,790,0.731,0.269,0.467,62,0.61,1.30,1.7,12.8,12.83,,,,,,,,,
5,5,Cayuga,NY,170.0,54,33.848,8.600,20,141100,,9180.00,830,0.151,0.849,0.755,132,0.65,0.19,0.1,6.3,6.28,,,,,,,,,
6,6,Cedar,Minn,0.7,6.1,0.040,3.300,55,242,,4.21,350,0.290,0.710,0.662,189,0.74,1.64,0.3,1.8,1.85,,,,,,,,,
7,7,Cox Hollow,Wisc,0.4,3.8,0.078,0.600,100,722,,1.48,1850,0.342,0.658,0.467,292,3.20,2.63,1.7,6.3,6.33,,,,,,,,,
8,8,Dogfish,Minn,0.3,4,0.011,3.500,10,5,,1.16,17,0.672,0.328,0.668,15,0.14,2.50,0.3,1.1,1.14,,,,,,,,,
9,9,Dutch Hollow,Wisc,0.9,3,0.045,1.800,400,833,,2.55,980,0.680,0.320,0.595,588,0.26,3.33,0.6,1.7,1.67,,,,,,,,,
10,10,George,NY,110.0,18,7.848,8.000,8.5,7880,,1980.00,72,0.267,0.733,0.748,32,0.34,0.56,0.1,2.3,2.25,,,,,,,,,
11,11,Harriet,Minn,1.4,8.8,0.163,2.400,62,994,,12.32,710,0.320,0.680,0.628,194,0.88,1.14,0.4,3.7,3.67,,,,,,,,,
12,12,Isles ,Minn,0.4,2.7,0.060,0.600,110,853,,1.13,2030,0.244,0.756,0.467,451,5.17,3.70,1.7,4.5,4.50,,,,,,,,,
13,13,Kerr (Roanoke),NC-Vir,120.0,10.3,195.967,0.200,30,624000,,1236.00,5200,0.297,0.703,0.343,101,11.83,0.97,5.0,51.5,51.50,,,,,,,,,
14,14,Kerr (Nutbush),NC-Vir,50.0,8.2,2.549,5.100,30,36000,,410.00,720,0.067,0.933,0.706,448,2.73,1.22,0.2,1.6,1.61,,,,,,,,,
15,15,Lamb,Minn,0.4,4,0.022,2.300,12,12,,1.60,30,0.690,0.310,0.623,17,0.20,2.50,0.4,1.7,1.74,,,,,,,,,
16,16,Meander,Minn,0.4,5,0.021,2.700,9,10,,1.80,28,0.606,0.394,0.641,15,0.24,2.00,0.4,1.9,1.85,,,,,,,,,
17,17,Mendota,Wisc,39.0,12,3.298,4.500,150,46800,,468.00,1200,0.333,0.667,0.694,450,0.44,0.83,0.2,2.7,2.67,,,,,,,,,
18,18,Minnetonka,Minn,26.2,8.3,1.095,6.300,60,2800,,217.46,107,0.740,0.260,0.726,81,0.06,1.20,0.2,1.3,1.32,,,,,,,,,
